app,owner,branch,containers,jobCount,walltime
app-tractanalysisprofiles,brainlife,1.11,docker://brainlife/freesurfer-stats:1.2,50779,42432731644
app-tractanalysisprofiles,brainlife,1.12,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.12,docker://brainlife/freesurfer-stats:1.2,50779,42432731644
app-tractanalysisprofiles,brainlife,1.13,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.13,docker://brainlife/freesurfer-stats:1.2,50779,42432731644
app-tractanalysisprofiles,brainlife,NODDI,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,dipy-1.0,docker://brainlife/pyafq:dev,50779,42432731644
app-tractanalysisprofiles,brainlife,latest,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,test-cesar,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,v1.1,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractographyQualityCheck,brainlife,master,docker://brainlife/mcr:r2019a,36799,116805492313
app-tractographyQualityCheck,brainlife,"1,0",docker://brainlife/mcr:r2019a,36799,116805492313
app-tractographyQualityCheck,brainlife,1.1,docker://brainlife/mcr:r2019a,36799,116805492313
app-tractographyQualityCheck,brainlife,1.2,docker://brainlife/mcr:r2019a,36799,116805492313
app-tractographyQualityCheck,brainlife,1.3,docker://brainlife/mcr:r2019a,36799,116805492313
app-tractographyQualityCheck,brainlife,1.4,docker://brainlife/mcr:r2019a,36799,116805492313
app-tractographyQualityCheck,brainlife,regexFix,docker://brainlife/mcr:r2019a,36799,116805492313
app-FSLBET,brainlife,master,docker://brainlife/fsl:6.0.4,34045,14257455897
app-FSLBET,brainlife,1.1,docker://brainlife/fsl:5.0.9,34045,14257455897
app-FSLBET,brainlife,2.0,docker://brainlife/fsl:6.0.4,34045,14257455897
app-FSLBET,brainlife,dwi,docker://brainlife/fsl:5.0.9,34045,14257455897
app-FSLBET,brainlife,t2,docker://brainlife/fsl:5.0.9,34045,14257455897
app-wmaSeg,brainlife,master,docker://brainlife/freesurfer-mini:6.0.1,41072,134002436285
app-wmaSeg,brainlife,master,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,master,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,1.1,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.1,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.2,docker://brainlife/freesurfer_on_mcr:6.0.2,41072,134002436285
app-wmaSeg,brainlife,1.2,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.3,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.3,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.4-retro,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.4-retro,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.4,docker://brainlife/freesurfer_on_mcr:6.0.2,41072,134002436285
app-wmaSeg,brainlife,1.4,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.5,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.5,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.6,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.6,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.7,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.7,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.8,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.8,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,1.9,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,1.9,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,2.0,docker://brainlife/freesurfer:6.0.0,41072,134002436285
app-wmaSeg,brainlife,2.0,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,2.0,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.0,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.0,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,3.0,docker://brainlife/freesurfer_on_mcr:6.0.2,41072,134002436285
app-wmaSeg,brainlife,3.1,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.1,docker://brainlife/mcr:neurodebian1604-r2017a,41072,134002436285
app-wmaSeg,brainlife,3.2,docker://brainlife/freesurfer_on_mcr:6.0.2,41072,134002436285
app-wmaSeg,brainlife,3.2,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.2,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.3,docker://brainlife/freesurfer_on_mcr:6.0.2,41072,134002436285
app-wmaSeg,brainlife,3.3,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.3,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.4,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.4,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.4,docker://brainlife/freesurfer:6.0.1,41072,134002436285
app-wmaSeg,brainlife,3.5,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.5,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.5,docker://brainlife/freesurfer-mini:6.0.1,41072,134002436285
app-wmaSeg,brainlife,3.6,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.6,docker://brainlife/pythonvtk:1.1,41072,134002436285
